,AAPL,ABC,AMZN,ANTM,BA,BAC,CAH,COST,CVS,CVX,DWDP,F,GE,GM,GOOGL,HD,JPM,KR,MCK,MSFT,PCAR,PSX,T,UNH,UNP,VZ,WBA,WFC,WMT,XOM
2023-03-31 11:46:00-04:00,163.1199951171875,159.6999969482422,103.06999969482422,,212.52999877929688,28.434999465942383,75.16000366210938,497.2699890136719,74.56999969482422,163.3800048828125,,12.489999771118164,95.4800033569336,36.4900016784668,102.54000091552734,289.4200134277344,129.74000549316406,49.3650016784668,358.3999938964844,284.5799865722656,72.8550033569336,100.19000244140625,19.125,475.0199890136719,200.72999572753906,38.887001037597656,34.505001068115234,37.41999816894531,147.39999389648438,109.91999816894531
2023-03-31 11:47:00-04:00,163.1199951171875,159.57000732421875,103.04000091552734,,212.5,28.450000762939453,75.12999725341797,497.1099853515625,74.58000183105469,163.30999755859375,,12.489999771118164,95.43000030517578,36.48500061035156,102.5,289.3900146484375,129.7899932861328,49.369998931884766,358.30999755859375,284.5799865722656,72.84500122070312,100.16999816894531,19.110000610351562,474.6700134277344,200.7100067138672,38.875,34.48500061035156,37.439998626708984,147.4315948486328,109.87000274658203
2023-03-31 11:48:00-04:00,163.11500549316406,159.57000732421875,103.06999969482422,,212.5399932861328,28.440000534057617,75.13999938964844,497.125,74.5999984741211,163.27999877929688,,12.494999885559082,95.41999816894531,36.47999954223633,102.53919982910156,289.44000244140625,129.75999450683594,49.3739013671875,358.30999755859375,284.77911376953125,72.83999633789062,100.19999694824219,19.110000610351562,474.6401062011719,200.75999450683594,38.8849983215332,34.4900016784668,37.439998626708984,147.47000122070312,109.83999633789062
2023-03-31 11:49:00-04:00,163.1199951171875,159.63999938964844,103.0999984741211,,212.47000122070312,28.434999465942383,75.1449966430664,497.19000244140625,74.58999633789062,163.30059814453125,,12.494999885559082,95.37000274658203,36.48500061035156,102.5250015258789,289.4100036621094,129.6999969482422,49.375,358.30999755859375,284.79998779296875,72.86000061035156,100.21499633789062,19.125,475.010009765625,200.68499755859375,38.900001525878906,34.48500061035156,37.435001373291016,147.4600067138672,109.83499908447266
2023-03-31 11:50:00-04:00,163.13150024414062,159.65499877929688,103.11000061035156,,212.4499969482422,28.434999465942383,75.12000274658203,497.1900939941406,74.57499694824219,163.3000030517578,,12.494999885559082,95.37999725341797,36.489898681640625,102.55000305175781,289.45001220703125,129.67999267578125,49.37929916381836,358.29998779296875,284.8599853515625,72.86000061035156,100.20999908447266,19.1299991607666,474.7799987792969,200.55999755859375,38.89500045776367,34.47999954223633,37.45000076293945,147.41000366210938,109.80000305175781
2023-03-31 11:51:00-04:00,163.16000366210938,159.65499877929688,103.19499969482422,,212.48500061035156,28.44499969482422,75.1500015258789,496.95001220703125,74.57270050048828,163.30999755859375,,12.529999732971191,95.30000305175781,36.54499816894531,102.56999969482422,289.4183044433594,129.75340270996094,49.375,358.4700012207031,284.79998779296875,72.81999969482422,100.2300033569336,19.125,475.135009765625,200.5749969482422,38.89500045776367,34.47999954223633,37.46989822387695,147.42999267578125,109.77999877929688
2023-03-31 11:52:00-04:00,163.1999053955078,159.71499633789062,103.2249984741211,,212.47999572753906,28.450000762939453,75.12999725341797,497.0299987792969,74.57720184326172,163.27999877929688,,12.524999618530273,95.28289794921875,36.53499984741211,102.57499694824219,289.489990234375,129.72000122070312,49.3650016784668,,284.92010498046875,72.82499694824219,100.30770111083984,19.125,474.95001220703125,200.64999389648438,38.89500045776367,34.5,37.459999084472656,147.44000244140625,109.7699966430664
2023-03-31 11:53:00-04:00,163.13999938964844,159.58999633789062,103.25,,212.39999389648438,28.44499969482422,75.12000274658203,496.94000244140625,74.56500244140625,163.3000030517578,,12.524999618530273,95.37000274658203,36.505001068115234,102.50689697265625,289.4800109863281,129.7100067138672,49.349998474121094,358.31500244140625,284.8399963378906,72.80999755859375,100.33000183105469,19.125,475.1400146484375,200.63999938964844,38.900001525878906,34.474998474121094,37.439998626708984,147.42999267578125,109.76000213623047
2023-03-31 11:54:00-04:00,163.12010192871094,159.60000610351562,103.18000030517578,,212.3800048828125,28.440000534057617,75.13349914550781,496.8450012207031,74.59500122070312,163.3300018310547,,12.515000343322754,95.27369689941406,36.459999084472656,102.41600036621094,289.4700012207031,129.7100067138672,49.375,358.239990234375,284.94000244140625,72.79000091552734,100.33999633789062,19.125,475.1099853515625,200.64999389648438,38.89789962768555,34.474998474121094,37.400001525878906,147.4499969482422,109.77999877929688
2023-03-31 11:55:00-04:00,163.1300048828125,159.60499572753906,103.16999816894531,,212.4499969482422,28.434200286865234,75.13999938964844,496.8699951171875,74.58999633789062,163.39999389648438,,12.510000228881836,95.25,36.45500183105469,102.5199966430664,289.42999267578125,129.72500610351562,49.3650016784668,358.3800048828125,284.92999267578125,72.80999755859375,100.41809844970703,19.135000228881836,475.05999755859375,200.72239685058594,38.91999816894531,34.48500061035156,37.40999984741211,147.43460083007812,109.81999969482422
2023-03-31 11:56:00-04:00,163.19000244140625,159.6649932861328,103.20010375976562,,212.5800018310547,28.459999084472656,75.16000366210938,,74.56999969482422,163.44000244140625,,12.51729965209961,95.2699966430664,36.470001220703125,102.55500030517578,289.45001220703125,129.80140686035156,49.3650016784668,358.5,284.989990234375,72.80999755859375,100.45010375976562,19.135000228881836,475.0950012207031,200.72000122070312,38.929500579833984,34.48500061035156,37.415000915527344,147.4499969482422,109.8499984741211
2023-03-31 11:57:00-04:00,163.1999969482422,159.7100067138672,103.23999786376953,,212.66000366210938,28.454999923706055,75.18000030517578,497.1199951171875,74.5999984741211,163.55999755859375,,12.524999618530273,95.23999786376953,36.4900016784668,102.55000305175781,289.54998779296875,129.82000732421875,49.3849983215332,358.69000244140625,284.9800109863281,72.84500122070312,100.45999908447266,19.13249969482422,475.3900146484375,200.7100067138672,38.915000915527344,34.4900016784668,37.41999816894531,147.47500610351562,109.88999938964844
2023-03-31 11:58:00-04:00,163.2100067138672,,103.22740173339844,,212.57000732421875,28.454599380493164,75.19000244140625,497.0350036621094,74.59500122070312,163.49000549316406,,12.515000343322754,95.23500061035156,36.474998474121094,102.47000122070312,289.5400085449219,129.82000732421875,49.3849983215332,358.6499938964844,285.2099914550781,72.83999633789062,100.50499725341797,19.130199432373047,475.1700134277344,200.61000061035156,38.915000915527344,34.4900016784668,37.43000030517578,147.42999267578125,109.87999725341797
2023-03-31 11:59:00-04:00,163.22000122070312,159.72000122070312,103.25,,212.5800018310547,28.444499969482422,75.19999694824219,497.0950012207031,74.61000061035156,163.52000427246094,,12.515000343322754,95.18000030517578,36.474998474121094,102.54000091552734,289.6549987792969,129.77000427246094,49.3849983215332,358.57000732421875,285.32000732421875,72.83000183105469,100.51499938964844,19.1299991607666,475.32000732421875,200.58999633789062,38.93000030517578,34.48500061035156,37.40999984741211,147.38999938964844,109.90499877929688
2023-03-31 12:00:00-04:00,163.2425994873047,159.6999969482422,103.25,,212.55459594726562,28.44499969482422,75.20999908447266,497.0249938964844,74.62999725341797,163.57000732421875,,12.515000343322754,95.20480346679688,36.46500015258789,102.60070037841797,289.75,129.7550048828125,49.3849983215332,358.6650085449219,285.260009765625,72.83999633789062,100.56089782714844,19.13990020751953,475.739990234375,200.66000366210938,38.94649887084961,34.52000045776367,37.404998779296875,147.4600067138672,109.91000366210938
