Date,Date2,WY,WYNN,XEL,XLEFF,XOM,XYL,YUM,ZBH,ZION,ZTS,,,
02-07-2015,02-07-2015,23.61683655,92.68128204,26.41484642,0.090000004,58.42008209,33.39786911,57.20602798,99.14351654,26.82057381,45.95631409,,,
02-07-2018,02-07-2018,30.28798294,146.1823578,41.13592529,0.140000001,64.15135193,64.01781464,72.1252594,105.106575,46.56528091,83.3097229,,,
02-07-2019,02-07-2019,23.27430534,129.5179291,55.12730789,0.150099993,62.00936127,79.77838898,104.1675873,110.6244354,40.40108109,112.1815033,,,
02-07-2020,02-07-2020,20.24314499,77.31999969,60.29229355,0.112829998,38.24651337,63.58300018,82.74882507,115.2095261,30.19941139,135.5486603,,,
02-07-2021,02-07-2021,31.71715164,121.5,64.56440735,0.233999997,59.06000137,118.8298111,113.8661728,157.1942596,51.1773262,190.826828,,,
02-08-2013,02-08-2013,19.46333313,115.8017731,22.62101936,0.086999997,61.00853729,22.28706169,44.81357193,75.68513489,25.36759758,29.00792313,,,
02-08-2016,02-08-2016,25.13008118,88.82010651,36.44638443,0.082000002,63.36419296,42.87876129,56.78625488,120.7300568,23.23513412,47.77099991,,,
02-08-2017,02-08-2017,26.05339622,117.7771225,41.08880234,0.079599999,60.81511307,56.11458588,69.85611725,109.6917267,39.63212967,59.5811348,,,
02-08-2018,02-08-2018,28.4356575,141.8198395,41.46515274,0.140000001,62.69978333,71.07510376,74.45219421,116.9313049,47.06645203,89.06237793,,,
02-08-2019,02-08-2019,22.02809334,116.5924301,54.82485962,0.150099993,58.7582016,74.36838531,110.2260284,130.8482361,38.32922745,114.0788956,,,
02-08-2021,02-08-2021,31.63395119,98.37000275,66.24568176,0.195260003,53.8337059,123.498848,128.8990326,156.7039795,49.61106873,200.3986206,,,
02-08-2022,02-08-2022,35.48463821,64.41000366,72.97259521,0.179370001,92.420784,94.80360413,120.9796219,113.8054199,52.30459595,178.4508209,,,
02-09-2014,02-09-2014,24.56929779,161.0302734,24.571558,0.086999997,67.63725281,34.09846497,43.87631989,90.27180481,24.87465858,33.56253815,,,
02-09-2015,02-09-2015,20.63506126,65.15744781,26.64020348,0.085000001,51.9380722,28.65677834,50.38215256,93.13206482,24.05831337,42.99547958,,,
02-09-2016,02-09-2016,24.67303276,85.08473969,34.77078247,0.082000002,64.18353271,47.18996048,58.68321991,119.6299057,26.68669701,49.25063324,,,
02-09-2020,02-09-2020,28.01636887,89.33000183,67.29973602,0.200350001,34.67446136,81.10482025,94.12415314,136.5683289,30.47353935,163.0223846,,,
